Title,Singer,Movie,YouTube link,Official channel,Source upload
Emon Madhur Sandhyay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Hay Re Kala Eki Jwala,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tolo Chhinnabeena,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Na Na Na Na Parbo Na,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Amar Kuasha Je Orna,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
O Pakhi Ure Aay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aar Ki Tomay Chharchhi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aaj Gun Gun Gun Kunje Amar,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ki Je Bhabi Elomelo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tomari Chalar Pathe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jani Na Aaj Je Apon,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Alo Aar Alo Diye,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Bhebechhi Bhule Jabo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tumi Kato Je Dure,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Keno Dako Isharay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Saiyan Jare Ja,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ramdhanu Rang Niye,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ami Apon Koriya Chahini,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ami Andhakarer Jatri,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Bou Katha Kao,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Khub Chena Chena Mukhkhani,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Eki Bhalobasa,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aaj Dole Mon Kar Isharate,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kotha Kotha Khunjechhi Tomay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Rimi Jhimi Ei Srabane,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ki Jadu Tomar Chokhe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ke Je Amar Ghum Bhangiye Gelo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Machher Kanta Khonpar Kanta,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Gun Gun Bhramara,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Durge Durge Durgatinashini,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kunjobihari,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Achhe Gour Nitai Nadiate,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ekta Deshlai Kathi Jwalao,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Prem Kathatai Chhoto,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jakhan Tomar Gaaner Sargam,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Bristi Thamar Sheshe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Amar Swapna Tumi Ogo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jodi Hoi Chorkanta,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kachhe Achho Tumi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jagate Anandajajne,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Baro Asha Kare,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Eso Shyamal Sundar,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Swapne Amar Mone Holo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Sahe Na Jatana,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tomari Jharnatalar Nirjane,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tumi Kon Kananer Phul,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Amar Bela Je Jai,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Deko Na Amare Deko Na,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kusume Kusume Charonchinha,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ma Mago Ma Ami Elem Tomar Kole,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Hanti Hanti Pa Pa,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Ami Raji,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Eso Jouban,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Tumi Aar Ami,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Majhraate Ghum Bhenge Jay,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Amay Chinte Keno Parchho Na Ma,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=0cEuIzhLcuI,Saregama Bengali,Manna Dey Hit Songs | Best Bengali Modern Songs Jukebox
Jodi Kagoje Lekho Naam,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Jakhan Keu Amake Pagal Bale,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Se Amar Chhoto Bon (Maar Sneho Kake Bale Janina),Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
"Hay Hay Go, Raat Jay Go",Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Ogo Tomar Shesh Bicharer,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Ami Niralay Bose,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Jani Tomar Premer Jogya Amito Noi,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Sei To Abar Kachhe Ele,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
Aami Agantuk,Manna Dey,Not stated in official YouTube description,https://www.youtube.com/watch?v=4mMuMXHxFwU,Saregama Bengali,Best of Manna Dey | Bengali Songs Vol 3 | Audio Jukebox
O Palash O Shimul,Lata Mangeshkar,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
E Jodi Akash Hoy,Talat Mahmood,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Andhar Amar Bhalo Lage,Pratima Banerjee,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Ki Mishti Dekho Mishti (Stereo),Sandhya Mukherjee,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Tumi Jodi Hao Surjo,Arundhati Holme Chowdhury,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Aaji Murali Baje,Chandrabali Rudra Dutta,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Amar Moner Kato Sukh Niye,Mukesh,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Ei Prithibite Sarati Jiban,Amal Mukherjee,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Amio Sraban Hoye,Ranu Mukherjee,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
Sei Shanto Chhayay Ghera,Chandrani Mukherjee,Not stated in official YouTube description,https://www.youtube.com/watch?v=zEbBccnysrs,Saregama Bengali,Best of Hemanta Mukherjee by Various Artists | Old Bengali Songs
